#name1	name2	strand1	strand2	start1	end1	start2	end2	size1	size2	length1	length2	nmatch	ngap	identity	idPct	continuity	conPct	coverage	covPct
IV	IV	+	+	1	83	18936	19018	17493829	21017644	83	83	83	0	83/83	100.0%	83/83	100.0%	83/17493829	0.0%
IV	IV	+	+	2	95	25661	25754	17493829	21017644	94	94	92	0	92/94	97.9%	94/94	100.0%	94/17493829	0.0%
IV	IV	+	+	5	79	32009	32083	17493829	21017644	75	75	75	0	75/75	100.0%	75/75	100.0%	75/17493829	0.0%
IV	IV	+	+	8	150	38310	38452	17493829	21017644	143	143	141	0	141/143	98.6%	143/143	100.0%	143/17493829	0.0%
IV	IV	+	+	14	48	614801	614835	17493829	21017644	35	35	35	0	35/35	100.0%	35/35	100.0%	35/17493829	0.0%
IV	IV	+	+	27	78	615715	615766	17493829	21017644	52	52	52	0	52/52	100.0%	52/52	100.0%	52/17493829	0.0%
IV	IV	+	+	74	108	616054	616088	17493829	21017644	35	35	35	0	35/35	100.0%	35/35	100.0%	35/17493829	0.0%
IV	IV	+	+	99	150	945206	945257	17493829	21017644	52	52	52	0	52/52	100.0%	52/52	100.0%	52/17493829	0.0%
IV	IV	+	+	195733	195815	1001528	1001610	17493829	21017644	83	83	70	0	70/83	84.3%	83/83	100.0%	83/17493829	0.0%
IV	IV	+	+	215664	216092	1005509	1005915	17493829	21017644	429	407	295	5	295/407	72.5%	407/429	94.9%	429/17493829	0.0%
IV	IV	+	+	216166	216316	1032553	1032703	17493829	21017644	151	151	116	0	116/151	76.8%	151/151	100.0%	151/17493829	0.0%
IV	IV	+	+	234681	234956	1033496	1033788	17493829	21017644	276	293	212	5	212/274	77.4%	274/295	92.9%	276/17493829	0.0%
IV	IV	+	+	283639	284017	1062744	1063128	17493829	21017644	379	385	278	2	278/367	75.7%	367/397	92.4%	379/17493829	0.0%
IV	IV	+	+	284047	284224	1064520	1064697	17493829	21017644	178	178	142	0	142/178	79.8%	178/178	100.0%	178/17493829	0.0%
IV	IV	+	+	285327	285570	1065475	1065715	17493829	21017644	244	241	187	1	187/241	77.6%	241/244	98.8%	244/17493829	0.0%
