#name1	name2	strand1	strand2	start1	end1	start2	end2	size1	size2	length1	length2	nmatch	ngap	identity	idPct	continuity	conPct	coverage	covPct
X	X	+	+	2	47	125668	125713	17718942	18190508	46	46	45	0	45/46	97.8%	46/46	100.0%	46/17718942	0.0%
X	X	+	+	44	83	194876	194915	17718942	18190508	40	40	38	0	38/40	95.0%	40/40	100.0%	40/17718942	0.0%
X	X	+	+	81	186	438997	439102	17718942	18190508	106	106	98	0	98/106	92.5%	106/106	100.0%	106/17718942	0.0%
X	X	+	+	188	227	520490	520529	17718942	18190508	40	40	38	0	38/40	95.0%	40/40	100.0%	40/17718942	0.0%
X	X	+	+	212	260	600736	600783	17718942	18190508	49	48	48	1	48/48	100.0%	48/49	98.0%	49/17718942	0.0%
X	X	+	+	54093	54226	628161	628294	17718942	18190508	134	134	90	0	90/134	67.2%	134/134	100.0%	134/17718942	0.0%
X	X	+	+	62781	65931	1104666	1107818	17718942	18190508	3151	3153	2161	8	2161/3137	68.9%	3137/3167	99.1%	3151/17718942	0.0%
X	X	+	+	142921	143067	1380323	1380488	17718942	18190508	147	166	108	2	108/137	78.8%	137/176	77.8%	147/17718942	0.0%
X	X	+	+	297836	297993	1857767	1857924	17718942	18190508	158	158	128	0	128/158	81.0%	158/158	100.0%	158/17718942	0.0%
X	X	+	+	298171	298333	1858624	1858786	17718942	18190508	163	163	135	0	135/163	82.8%	163/163	100.0%	163/17718942	0.0%
X	X	+	+	298435	298572	1859058	1859195	17718942	18190508	138	138	110	0	110/138	79.7%	138/138	100.0%	138/17718942	0.0%
X	X	+	+	299039	299177	1859405	1859543	17718942	18190508	139	139	111	0	111/139	79.9%	139/139	100.0%	139/17718942	0.0%
X	X	+	+	300402	300573	1861146	1861353	17718942	18190508	172	208	136	3	136/168	81.0%	168/212	79.2%	172/17718942	0.0%
X	X	+	+	302735	302890	1862882	1863037	17718942	18190508	156	156	129	0	129/156	82.7%	156/156	100.0%	156/17718942	0.0%
X	X	+	+	303654	304446	1864251	1864874	17718942	18190508	793	624	469	4	469/624	75.2%	624/793	78.7%	793/17718942	0.0%
X	X	+	+	304516	305254	1865757	1866254	17718942	18190508	739	498	380	10	380/475	80.0%	475/762	62.3%	739/17718942	0.0%
X	X	+	+	305663	305864	1868129	1868330	17718942	18190508	202	202	165	0	165/202	81.7%	202/202	100.0%	202/17718942	0.0%
X	X	+	+	306170	306326	1868931	1869087	17718942	18190508	157	157	123	0	123/157	78.3%	157/157	100.0%	157/17718942	0.0%
X	X	+	+	306653	307031	1869264	1869642	17718942	18190508	379	379	292	0	292/379	77.0%	379/379	100.0%	379/17718942	0.0%
X	X	+	+	307606	308231	1869835	1870471	17718942	18190508	626	637	441	4	441/613	71.9%	613/650	94.3%	626/17718942	0.0%
X	X	+	+	308863	309021	1872461	1872622	17718942	18190508	159	162	127	1	127/159	79.9%	159/162	98.1%	159/17718942	0.0%
X	X	+	+	311160	311260	1874357	1874457	17718942	18190508	101	101	74	0	74/101	73.3%	101/101	100.0%	101/17718942	0.0%
X	X	+	+	314414	314620	1888466	1888672	17718942	18190508	207	207	147	0	147/207	71.0%	207/207	100.0%	207/17718942	0.0%
X	X	+	+	353245	353340	1932625	1932720	17718942	18190508	96	96	92	0	92/96	95.8%	96/96	100.0%	96/17718942	0.0%
X	X	+	+	353920	354086	1933521	1933687	17718942	18190508	167	167	110	0	110/167	65.9%	167/167	100.0%	167/17718942	0.0%
X	X	+	+	354771	355005	1933951	1934185	17718942	18190508	235	235	161	0	161/235	68.5%	235/235	100.0%	235/17718942	0.0%
X	X	+	+	355955	356115	1935881	1936041	17718942	18190508	161	161	111	0	111/161	68.9%	161/161	100.0%	161/17718942	0.0%
X	X	+	+	356816	356951	1938308	1938443	17718942	18190508	136	136	96	0	96/136	70.6%	136/136	100.0%	136/17718942	0.0%
X	X	+	+	357585	357694	1938780	1938887	17718942	18190508	110	108	80	1	80/108	74.1%	108/110	98.2%	110/17718942	0.0%
X	X	+	+	360854	360940	1941766	1941852	17718942	18190508	87	87	64	0	64/87	73.6%	87/87	100.0%	87/17718942	0.0%
X	X	+	+	523082	523732	2600428	2601045	17718942	18190508	651	618	440	10	440/600	73.3%	600/669	89.7%	651/17718942	0.0%
X	X	+	+	523750	524099	2601494	2601840	17718942	18190508	350	347	248	2	248/335	74.0%	335/362	92.5%	350/17718942	0.0%
X	X	+	+	576668	576849	2848764	2848945	17718942	18190508	182	182	120	0	120/182	65.9%	182/182	100.0%	182/17718942	0.0%
X	X	+	+	815697	815820	3052384	3052504	17718942	18190508	124	121	88	1	88/121	72.7%	121/124	97.6%	124/17718942	0.0%
X	X	+	+	1352238	1354189	3353480	3355525	17718942	18190508	1952	2046	1312	11	1312/1923	68.2%	1923/2075	92.7%	1952/17718942	0.0%
X	X	+	+	1806833	1807774	3462619	3463549	17718942	18190508	942	931	656	6	656/912	71.9%	912/961	94.9%	942/17718942	0.0%
X	X	+	+	2009611	2010751	3499983	3500956	17718942	18190508	1141	974	682	15	682/967	70.5%	967/1148	84.2%	1141/17718942	0.0%
X	X	+	+	7017461	7018130	3510615	3511263	17718942	18190508	670	649	439	2	439/649	67.6%	649/670	96.9%	670/17718942	0.0%
X	X	+	+	7537228	7537300	3668996	3669068	17718942	18190508	73	73	58	0	58/73	79.5%	73/73	100.0%	73/17718942	0.0%
X	X	+	+	8882379	8882464	3687634	3687719	17718942	18190508	86	86	78	0	78/86	90.7%	86/86	100.0%	86/17718942	0.0%
X	X	+	+	9203891	9204127	3785920	3786158	17718942	18190508	237	239	188	6	188/227	82.8%	227/249	91.2%	237/17718942	0.0%
X	X	+	+	9205949	9206075	3787984	3788110	17718942	18190508	127	127	101	2	101/126	80.2%	126/128	98.4%	127/17718942	0.0%
X	X	+	+	9206880	9207282	3788671	3789083	17718942	18190508	403	413	276	15	276/373	74.0%	373/443	84.2%	403/17718942	0.0%
X	X	+	+	9209220	9209423	3789987	3790252	17718942	18190508	204	266	168	6	168/202	83.2%	202/268	75.4%	204/17718942	0.0%
X	X	+	+	9211132	9211392	3791775	3792038	17718942	18190508	261	264	201	3	201/254	79.1%	254/271	93.7%	261/17718942	0.0%
X	X	+	+	9212004	9212221	3792349	3792587	17718942	18190508	218	239	186	2	186/217	85.7%	217/240	90.4%	218/17718942	0.0%
X	X	+	+	9214079	9219251	3793625	3798360	17718942	18190508	5173	4736	3215	116	3215/4430	72.6%	4430/5479	80.9%	5173/17718942	0.0%
X	X	+	+	9220102	9220469	3800335	3800709	17718942	18190508	368	375	285	4	285/364	78.3%	364/379	96.0%	368/17718942	0.0%
