#name1	name2	strand1	strand2	start1	end1	start2	end2	size1	size2	length1	length2	nmatch	ngap	identity	idPct	continuity	conPct	coverage	covPct
II	II	+	+	264649	264749	34535	34628	15279421	20116996	101	94	78	2	78/92	84.8%	92/103	89.3%	101/15279421	0.0%
II	II	+	+	265700	265808	35425	35533	15279421	20116996	109	109	90	0	90/109	82.6%	109/109	100.0%	109/15279421	0.0%
II	II	+	+	266447	266635	36210	36398	15279421	20116996	189	189	136	0	136/189	72.0%	189/189	100.0%	189/15279421	0.0%
II	II	+	+	267246	267537	37144	37465	15279421	20116996	292	322	211	2	211/292	72.3%	292/322	90.7%	292/15279421	0.0%
II	II	+	+	268386	269626	37505	38385	15279421	20116996	1241	881	621	21	621/855	72.6%	855/1267	67.5%	1241/15279421	0.0%
II	II	+	+	270066	270674	38501	39109	15279421	20116996	609	609	444	2	444/608	73.0%	608/610	99.7%	609/15279421	0.0%
II	II	+	+	271347	271835	39144	39523	15279421	20116996	489	380	304	5	304/380	80.0%	380/489	77.7%	489/15279421	0.0%
II	II	+	+	272363	272534	39584	39755	15279421	20116996	172	172	150	0	150/172	87.2%	172/172	100.0%	172/15279421	0.0%
II	II	+	+	272894	273620	39799	40329	15279421	20116996	727	531	423	3	423/531	79.7%	531/727	73.0%	727/15279421	0.0%
II	II	+	+	276861	277075	43650	43864	15279421	20116996	215	215	149	0	149/215	69.3%	215/215	100.0%	215/15279421	0.0%
II	II	+	+	277529	277715	43941	44127	15279421	20116996	187	187	140	0	140/187	74.9%	187/187	100.0%	187/15279421	0.0%
II	II	+	+	277984	278208	44166	44390	15279421	20116996	225	225	168	0	168/225	74.7%	225/225	100.0%	225/15279421	0.0%
II	II	+	+	278525	278733	45428	45636	15279421	20116996	209	209	152	2	152/207	73.4%	207/211	98.1%	209/15279421	0.0%
II	II	+	+	280462	280620	47213	47371	15279421	20116996	159	159	120	0	120/159	75.5%	159/159	100.0%	159/15279421	0.0%
II	II	+	+	281166	281685	47417	47945	15279421	20116996	520	529	354	6	354/511	69.3%	511/538	95.0%	520/15279421	0.0%
II	II	+	+	282296	282564	48853	49127	15279421	20116996	269	275	201	1	201/269	74.7%	269/275	97.8%	269/15279421	0.0%
II	II	+	+	282649	282939	52081	52389	15279421	20116996	291	309	189	5	189/282	67.0%	282/318	88.7%	291/15279421	0.0%
II	II	+	+	283337	284053	52660	53320	15279421	20116996	717	661	440	13	440/630	69.8%	630/748	84.2%	717/15279421	0.0%
II	II	+	+	284591	285855	53351	54575	15279421	20116996	1265	1225	831	21	831/1118	74.3%	1118/1372	81.5%	1265/15279421	0.0%
II	II	+	+	286629	287267	55491	56141	15279421	20116996	639	651	441	10	441/600	73.5%	600/690	87.0%	639/15279421	0.0%
II	II	+	+	287877	289179	56139	57310	15279421	20116996	1303	1172	832	20	832/1128	73.8%	1128/1347	83.7%	1303/15279421	0.0%
II	II	+	+	289753	291208	57850	59142	15279421	20116996	1456	1293	829	23	829/1103	75.2%	1103/1646	67.0%	1456/15279421	0.0%
II	II	+	+	291573	291724	59141	59292	15279421	20116996	152	152	117	0	117/152	77.0%	152/152	100.0%	152/15279421	0.0%
II	II	+	+	321544	321869	73823	74148	15279421	20116996	326	326	252	2	252/323	78.0%	323/329	98.2%	326/15279421	0.0%
II	II	+	+	322352	322678	75167	75493	15279421	20116996	327	327	253	0	253/327	77.4%	327/327	100.0%	327/15279421	0.0%
II	II	+	+	322989	323102	76161	76271	15279421	20116996	114	111	83	1	83/111	74.8%	111/114	97.4%	114/15279421	0.0%
II	II	+	+	326642	328171	86752	88516	15279421	20116996	1530	1765	970	30	970/1382	70.2%	1382/1913	72.2%	1530/15279421	0.0%
II	II	+	+	340541	340986	111237	111682	15279421	20116996	446	446	317	0	317/446	71.1%	446/446	100.0%	446/15279421	0.0%
II	II	+	+	341562	342239	112444	113199	15279421	20116996	678	756	463	21	463/607	76.3%	607/827	73.4%	678/15279421	0.0%
II	II	+	+	343023	343189	113525	113688	15279421	20116996	167	164	125	3	125/161	77.6%	161/170	94.7%	167/15279421	0.0%
II	II	+	+	343794	344367	113686	114319	15279421	20116996	574	634	412	10	412/563	73.2%	563/645	87.3%	574/15279421	0.0%
II	II	+	+	344928	345180	114468	114720	15279421	20116996	253	253	199	0	199/253	78.7%	253/253	100.0%	253/15279421	0.0%
II	II	+	+	346284	346470	114807	114996	15279421	20116996	187	190	148	1	148/187	79.1%	187/190	98.4%	187/15279421	0.0%
II	II	+	+	347085	347215	115076	115206	15279421	20116996	131	131	104	0	104/131	79.4%	131/131	100.0%	131/15279421	0.0%
II	II	+	+	347244	347774	115455	115928	15279421	20116996	531	474	352	4	352/469	75.1%	469/536	87.5%	531/15279421	0.0%
II	II	+	+	348235	348434	117072	117269	15279421	20116996	200	198	148	2	148/197	75.1%	197/201	98.0%	200/15279421	0.0%
II	II	+	+	348701	349660	117707	118422	15279421	20116996	960	716	545	11	545/697	78.2%	697/979	71.2%	960/15279421	0.0%
II	II	+	+	349689	350035	118941	119295	15279421	20116996	347	355	260	2	260/345	75.4%	345/357	96.6%	347/15279421	0.0%
II	II	+	+	350417	350599	120073	120255	15279421	20116996	183	183	143	0	143/183	78.1%	183/183	100.0%	183/15279421	0.0%
II	II	+	+	362646	362806	149965	150125	15279421	20116996	161	161	119	0	119/161	73.9%	161/161	100.0%	161/15279421	0.0%
II	II	+	+	362852	363441	150702	151291	15279421	20116996	590	590	465	0	465/590	78.8%	590/590	100.0%	590/15279421	0.0%
II	II	+	+	363932	365176	151341	152580	15279421	20116996	1245	1240	915	9	915/1224	74.8%	1224/1261	97.1%	1245/15279421	0.0%
II	II	+	+	365462	365671	153261	153470	15279421	20116996	210	210	164	0	164/210	78.1%	210/210	100.0%	210/15279421	0.0%
II	II	+	+	365702	366374	153808	154466	15279421	20116996	673	659	493	7	493/651	75.7%	651/681	95.6%	673/15279421	0.0%
II	II	+	+	366413	366554	154843	154984	15279421	20116996	142	142	105	0	105/142	73.9%	142/142	100.0%	142/15279421	0.0%
II	II	+	+	367328	367435	155029	155139	15279421	20116996	108	111	85	1	85/108	78.7%	108/111	97.3%	108/15279421	0.0%
II	II	+	+	382766	382860	166450	166544	15279421	20116996	95	95	70	0	70/95	73.7%	95/95	100.0%	95/15279421	0.0%
II	II	+	+	385246	385357	169646	169751	15279421	20116996	112	106	79	1	79/106	74.5%	106/112	94.6%	112/15279421	0.0%
II	II	+	+	386273	386336	171275	171338	15279421	20116996	64	64	53	0	53/64	82.8%	64/64	100.0%	64/15279421	0.0%
II	II	+	+	386752	387041	171923	172221	15279421	20116996	290	299	227	2	227/287	79.1%	287/302	95.0%	290/15279421	0.0%
II	II	+	+	387644	387821	172314	172491	15279421	20116996	178	178	141	0	141/178	79.2%	178/178	100.0%	178/15279421	0.0%
II	II	+	+	388822	389337	173221	173587	15279421	20116996	516	367	285	6	285/367	77.7%	367/516	71.1%	516/15279421	0.0%
II	II	+	+	389864	389955	173622	173713	15279421	20116996	92	92	74	0	74/92	80.4%	92/92	100.0%	92/15279421	0.0%
II	II	+	+	390149	390356	173701	173902	15279421	20116996	208	202	162	1	162/202	80.2%	202/208	97.1%	208/15279421	0.0%
II	II	+	+	391053	391290	173943	174180	15279421	20116996	238	238	187	0	187/238	78.6%	238/238	100.0%	238/15279421	0.0%
II	II	+	+	392153	392298	175955	176100	15279421	20116996	146	146	115	0	115/146	78.8%	146/146	100.0%	146/15279421	0.0%
II	II	+	+	392439	392508	177293	177362	15279421	20116996	70	70	60	0	60/70	85.7%	70/70	100.0%	70/15279421	0.0%
II	II	+	+	451394	451581	485388	485579	15279421	20116996	188	192	126	2	126/188	67.0%	188/192	97.9%	188/15279421	0.0%
II	II	+	+	510893	510961	557094	557162	15279421	20116996	69	69	65	0	65/69	94.2%	69/69	100.0%	69/15279421	0.0%
II	II	+	+	517304	517412	568754	568862	15279421	20116996	109	109	91	0	91/109	83.5%	109/109	100.0%	109/15279421	0.0%
II	II	+	+	519212	519558	575227	575571	15279421	20116996	347	345	278	3	278/341	81.5%	341/351	97.2%	347/15279421	0.0%
II	II	+	+	519946	520598	576882	577504	15279421	20116996	653	623	464	12	464/592	78.4%	592/684	86.5%	653/15279421	0.0%
II	II	+	+	547707	548397	593146	593820	15279421	20116996	691	675	478	6	478/661	72.3%	661/705	93.8%	691/15279421	0.0%
II	II	+	+	548994	549223	593900	594129	15279421	20116996	230	230	192	0	192/230	83.5%	230/230	100.0%	230/15279421	0.0%
II	II	+	+	549559	549869	594162	594544	15279421	20116996	311	383	250	5	250/305	82.0%	305/389	78.4%	311/15279421	0.0%
II	II	+	+	550337	550582	595833	596078	15279421	20116996	246	246	200	0	200/246	81.3%	246/246	100.0%	246/15279421	0.0%
II	II	+	+	551289	551954	596119	596801	15279421	20116996	666	683	522	3	522/661	79.0%	661/688	96.1%	666/15279421	0.0%
II	II	+	+	553086	553514	699872	700299	15279421	20116996	429	428	312	3	312/422	73.9%	422/435	97.0%	429/15279421	0.0%
II	II	+	+	554021	554311	701427	701722	15279421	20116996	291	296	235	3	235/285	82.5%	285/302	94.4%	291/15279421	0.0%
II	II	+	+	554412	554701	702336	702625	15279421	20116996	290	290	222	0	222/290	76.6%	290/290	100.0%	290/15279421	0.0%
II	II	+	+	556541	556652	710061	710172	15279421	20116996	112	112	88	0	88/112	78.6%	112/112	100.0%	112/15279421	0.0%
II	II	+	+	557005	557604	711487	711990	15279421	20116996	600	504	370	7	370/488	75.8%	488/616	79.2%	600/15279421	0.0%
II	II	+	+	558133	558559	712828	713249	15279421	20116996	427	422	310	4	310/416	74.5%	416/433	96.1%	427/15279421	0.0%
II	II	+	+	558601	558744	714255	714398	15279421	20116996	144	144	114	0	114/144	79.2%	144/144	100.0%	144/15279421	0.0%
II	II	+	+	559300	559690	714440	714837	15279421	20116996	391	398	300	2	300/385	77.9%	385/404	95.3%	391/15279421	0.0%
II	II	+	+	560025	560311	715744	716028	15279421	20116996	287	285	202	6	202/274	73.7%	274/298	91.9%	287/15279421	0.0%
II	II	+	+	561812	562871	717892	719050	15279421	20116996	1060	1159	661	20	661/1033	64.0%	1033/1186	87.1%	1060/15279421	0.0%
II	II	+	+	563104	563247	719379	719522	15279421	20116996	144	144	105	0	105/144	72.9%	144/144	100.0%	144/15279421	0.0%
II	II	+	+	563786	563981	719564	719788	15279421	20116996	196	225	139	4	139/189	73.5%	189/232	81.5%	196/15279421	0.0%
II	II	+	+	569506	569723	726600	726817	15279421	20116996	218	218	184	0	184/218	84.4%	218/218	100.0%	218/15279421	0.0%
II	II	+	+	570400	570609	727992	728201	15279421	20116996	210	210	179	0	179/210	85.2%	210/210	100.0%	210/15279421	0.0%
II	II	+	+	570885	571131	729242	729488	15279421	20116996	247	247	214	0	214/247	86.6%	247/247	100.0%	247/15279421	0.0%
II	II	+	+	571929	572113	731213	731403	15279421	20116996	185	191	154	1	154/185	83.2%	185/191	96.9%	185/15279421	0.0%
II	II	+	+	614918	615048	739994	740132	15279421	20116996	131	139	106	1	106/131	80.9%	131/139	94.2%	131/15279421	0.0%
II	II	+	+	615275	615426	740853	741004	15279421	20116996	152	152	126	0	126/152	82.9%	152/152	100.0%	152/15279421	0.0%
II	II	+	+	615993	616243	741077	741327	15279421	20116996	251	251	201	0	201/251	80.1%	251/251	100.0%	251/15279421	0.0%
II	II	+	+	616779	617440	741367	742028	15279421	20116996	662	662	520	0	520/662	78.5%	662/662	100.0%	662/15279421	0.0%
II	II	+	+	617582	617884	743215	743466	15279421	20116996	303	252	200	1	200/252	79.4%	252/303	83.2%	303/15279421	0.0%
II	II	+	+	618066	618331	744257	744522	15279421	20116996	266	266	209	0	209/266	78.6%	266/266	100.0%	266/15279421	0.0%
II	II	+	+	618661	618753	744557	744649	15279421	20116996	93	93	78	0	78/93	83.9%	93/93	100.0%	93/15279421	0.0%
II	II	+	+	618752	619842	745210	746082	15279421	20116996	1091	873	643	16	643/869	74.0%	869/1095	79.4%	1091/15279421	0.0%
II	II	+	+	620433	621240	746281	747171	15279421	20116996	808	891	573	11	573/756	75.8%	756/943	80.2%	808/15279421	0.0%
II	II	+	+	624296	624522	749733	749980	15279421	20116996	227	248	168	7	168/223	75.3%	223/252	88.5%	227/15279421	0.0%
II	II	+	+	1074763	1074912	773346	773495	15279421	20116996	150	150	103	0	103/150	68.7%	150/150	100.0%	150/15279421	0.0%
II	II	+	+	1075119	1075508	773929	774282	15279421	20116996	390	354	232	3	232/354	65.5%	354/390	90.8%	390/15279421	0.0%
II	II	+	+	1097223	1097281	814901	814959	15279421	20116996	59	59	49	0	49/59	83.1%	59/59	100.0%	59/15279421	0.0%
II	II	+	+	1132368	1132497	816185	816314	15279421	20116996	130	130	107	0	107/130	82.3%	130/130	100.0%	130/15279421	0.0%
II	II	+	+	1133080	1133308	816523	816742	15279421	20116996	229	220	150	1	150/220	68.2%	220/229	96.1%	229/15279421	0.0%
II	II	+	+	1133529	1134162	816736	817395	15279421	20116996	634	660	422	10	422/625	67.5%	625/669	93.4%	634/15279421	0.0%
II	II	+	+	1163603	1164562	826893	827712	15279421	20116996	960	820	593	15	593/805	73.7%	805/975	82.6%	960/15279421	0.0%
II	II	+	+	1165073	1165229	827884	828052	15279421	20116996	157	169	131	2	131/157	83.4%	157/169	92.9%	157/15279421	0.0%
II	II	+	+	1169847	1170103	849890	850146	15279421	20116996	257	257	192	0	192/257	74.7%	257/257	100.0%	257/15279421	0.0%
II	II	+	+	1170744	1171115	851455	851887	15279421	20116996	372	433	283	3	283/372	76.1%	372/433	85.9%	372/15279421	0.0%
II	II	+	+	1175964	1176213	856057	856305	15279421	20116996	250	249	193	4	193/241	80.1%	241/258	93.4%	250/15279421	0.0%
II	II	+	+	1176535	1176660	856347	856472	15279421	20116996	126	126	94	0	94/126	74.6%	126/126	100.0%	126/15279421	0.0%
II	II	+	+	1176912	1177025	856580	856693	15279421	20116996	114	114	85	0	85/114	74.6%	114/114	100.0%	114/15279421	0.0%
II	II	+	+	1177165	1177754	857106	857501	15279421	20116996	590	396	309	2	309/396	78.0%	396/590	67.1%	590/15279421	0.0%
II	II	+	+	1178083	1178212	857563	857692	15279421	20116996	130	130	99	0	99/130	76.2%	130/130	100.0%	130/15279421	0.0%
II	II	+	+	1178210	1178409	858366	858565	15279421	20116996	200	200	150	0	150/200	75.0%	200/200	100.0%	200/15279421	0.0%
II	II	+	+	1178841	1179020	858603	858782	15279421	20116996	180	180	134	0	134/180	74.4%	180/180	100.0%	180/15279421	0.0%
II	II	+	+	1180471	1180713	874123	874424	15279421	20116996	243	302	184	5	184/230	80.0%	230/315	73.0%	243/15279421	0.0%
II	II	+	+	1197312	1197524	888941	889169	15279421	20116996	213	229	165	1	165/213	77.5%	213/229	93.0%	213/15279421	0.0%
II	II	+	+	1211065	1211182	903816	903933	15279421	20116996	118	118	98	0	98/118	83.1%	118/118	100.0%	118/15279421	0.0%
II	II	+	+	1211348	1211452	905105	905213	15279421	20116996	105	109	81	1	81/105	77.1%	105/109	96.3%	105/15279421	0.0%
